userName,score,at,content,Primary Issue Category,Support Contacted,Outcome
Uma Rajpurohit,3,2026-07-28 15:55:54,good,Other / Generic,Unclear,N/A
Kevin Thomas,1,2026-07-25 08:34:55,stupid app. useless,Other / Generic,Unclear,N/A
Suman Kumari,1,2026-07-25 05:54:27,"Poor service, food quality is very poor, prices are high, and delivery service is terrible; improvement is needed.",Food Quality,Unclear,N/A
Amritpal Singh,1,2026-07-24 23:08:12,why stopped delivery at jantar mantar?,Other / Generic,Unclear,N/A
Simran Pritam,1,2026-07-24 18:48:19,very wrost food delivery app ever....too disgusting....don't use this app,Other / Generic,Unclear,N/A
Ayush Singh,1,2026-07-24 17:19:40,worst,Other / Generic,Unclear,N/A
KRISHNA RATHOR,1,2026-07-24 10:13:12,shame on you,Other / Generic,Unclear,N/A
Dark Specter,1,2026-07-24 01:48:38,why not taking order in jantar mantar,Other / Generic,Unclear,N/A
Ahir Vipul,1,2026-07-22 23:52:05,jantar mantar aandolan me khana kam bhej rahe ho paise pure le rahe ho,Other / Generic,Unclear,N/A
_Ashmita_ Singh_,1,2026-07-22 23:51:34,"Zomato never takes any action against the restaurant. Restaurant send whatever quality and quantity they want to send.I have ordered a 500gm cake and the restaurant sent me a cake ofonly 345grams,see the reply After carefully reviewing the details of your order, we regret to inform you that we're unable to take further action in this case. We truly apologize for any inconvenience this may have caused. Please know that we've flagged this internally to help prevent similar issues in the future.",Order Accuracy,Unclear,Refund Denied
Manmohan Kaur,1,2026-07-22 23:50:41,tax and handling charges are high,Other / Generic,Unclear,N/A
Abhay Sharma,1,2026-07-22 23:43:15,pathetic 2 hours delay several delivery boys assigned use swiggy instead,Order Accuracy,Unclear,N/A
Bhavesh Bhane,1,2026-07-22 23:16:23,"The Zomato app is absolutely terrible. I ordered food, but even after two hours, I still haven't received it; the delivery partner isn't answering calls, and their location hasn't moved for an hour and a half.",App Bug / UI,Yes,N/A
rupali parida,3,2026-07-22 23:14:38,very good,Other / Generic,Unclear,N/A
Bhanu Veekshitha,1,2026-07-22 23:09:29,its time waste..and I'm faced worest experience.not giving orders in zomato... Swiggy is the best for time and good quality..,Delivery Speed,Unclear,N/A
Nebin Joseph,1,2026-07-22 23:07:40,i ordered an honey alfam mandhi and when the order came it was only mandhi rice and i try to complaint it they are not responsible for it very bad experience dont use this app my 330 rs gone bad customercare service...,Other / Generic,Yes,N/A
Omkar Singh Yadav,1,2026-07-22 23:01:45,very poor service,Other / Generic,Unclear,N/A
Bhanu Pratap Dhaka,1,2026-07-22 23:01:00,"fraud delivery person's no response from zomato customer care , verry disrepectfull",Refund / Support Friction,Yes,N/A
Rajput boy,1,2026-07-22 23:00:07,zamato se ghatiya service or kahi nhi mil sakti ek dum ghatiya na koi no h inka bakwas bas,Other / Generic,Unclear,N/A
vittal kamani,1,2026-07-22 22:59:16,"worst service, zomato is fraud . don't install this app. in zomato most delivery partner is fraud,no order delivery but show on zomato delivered and no money ,time waste",Refund / Support Friction,Unclear,N/A
Amitabh Chaturvedi,3,2026-07-22 22:57:01,i have faced many problems to order my food it is very complex,Other / Generic,Unclear,N/A
pankaj darade,1,2026-07-22 22:53:36,"thirdclass service...U cannot call to zomato as they don't have calling service, wrong food item delivered but got compensation of only 180 Rs while the food item i ordered was 670 around....the delivery boy also not picked up the call",Order Accuracy,Yes,N/A
Sivaprasad VR,1,2026-07-22 22:52:13,they are not allowing us to connect with a customer service associate. if we do not receive our order or if an item is missing our money is gone. we can only send out an email.,Order Accuracy,Unclear,N/A
sachin kumar,1,2026-07-22 22:47:12,"bekar app .. same problem with different number of people. no solution of problem, no improvement in problem solving",Other / Generic,Unclear,N/A
gopinath pasula120,1,2026-07-22 22:40:36,Fraud app.. Zomato people will play with customers,Other / Generic,Unclear,N/A
Barasha Haloi,1,2026-07-22 22:34:59,very bad app... I ordered food but i did not received the food... delivery partner enjoyed my food...there is no otp system after prepaid on this app...3rd class app...chiiiiiiiiiiiiiiii🤮🤮🤮🤮🤮🤮🤮🤮,Other / Generic,Unclear,N/A
Kavita Dhakul,3,2026-07-22 22:34:35,good,Other / Generic,Unclear,N/A
Akash Bansal,1,2026-07-22 22:29:49,Don't order after 9 pm 99percent do not assign delivery partner and just waste our time and money,Refund / Support Friction,Unclear,N/A
RDS Cabs-Airport taxi,1,2026-07-22 22:29:17,one off the worst service I ever found today I have order 481 rupees order even single person can't feel his hunger such a worst service man... we are struggling to earn 500... rupees in that 500 rupees one person can't full feel his hunger such a stupid thing don't order for RNR biriyani in zomato and other restaurants also iam so sad always they will do same thing this time iam feeling so sad...,Delivery Speed,Unclear,N/A
saurabh verma,1,2026-07-22 22:26:29,"They are thieves, reported of missing food items so many times but never got justification and refund of missing item,often cancellation of order in the night time, never deliver food on time adding my last review 2 years back... Having the same issues still, they are biggest thrives , never take accountability of spillage or food quality. and charges are always too high",Order Accuracy,Unclear,N/A
gangesh jha,1,2026-07-22 22:26:17,poor customer support,Refund / Support Friction,Yes,N/A
Ankit Chauhan,1,2026-07-22 22:19:46,"Extremely bad experience, no support, you can't give a full feedback too, only few prelisted issues. very disheartening.",Refund / Support Friction,Yes,N/A
Josseph Sujatha Beulah,1,2026-07-22 22:13:51,The delivery partner called me but i didnt received the call then the partener click as delievered and take the order with himself. when i tried to report the issue they didnt give my order or refund. I am a gold member. everyone use swiggy dont use zomato its very worst.,Refund / Support Friction,Yes,N/A
Sareeka Deshmukh,2,2026-07-22 22:12:18,rate is too high and many additional charges toooo expensive,Other / Generic,Unclear,N/A
PRATHAM Waghela,1,2026-07-22 22:11:12,guuu se bhi battar jaisa app,Other / Generic,Unclear,N/A
Priyanka Nalluri,1,2026-07-22 22:10:20,Fraud app ... They ( zomato ) will play with the customer.,Other / Generic,Unclear,N/A
Lutfur Haque,3,2026-07-22 22:04:22,thik hain,Other / Generic,Unclear,N/A
YOUR TECHNO GURU,1,2026-07-22 22:02:51,we have ordered paneer do pyaza and got paneer mashroom taj this is wrong delivery.,Order Accuracy,Unclear,N/A
Sandeep Sharma,1,2026-07-22 22:01:01,half kadhai paneer ke jagah quarter bhej dia,Other / Generic,Unclear,N/A
abhishek sharma,1,2026-07-22 21:53:57,poor food not recommended to eat,Other / Generic,Unclear,N/A
Krishna Gond,1,2026-07-22 21:53:08,veryy poor delivery time only delay,Delivery Speed,Unclear,N/A
ashad rehan,2,2026-07-22 21:52:59,price very high y,Other / Generic,Unclear,N/A
pintu sapkle,1,2026-07-22 21:49:15,hopeless service,Other / Generic,Unclear,N/A
Anuradha Tiwari,3,2026-07-22 21:43:33,good,Other / Generic,Unclear,N/A
Dhiraj 1702,2,2026-07-22 21:43:20,bad experience,Other / Generic,Unclear,N/A
Priyanka Kawde,3,2026-07-22 21:38:07,Thank you Zomato,Other / Generic,Unclear,N/A
Rohid R,1,2026-07-22 21:38:00,"the app sucks, mainly the customer support",Refund / Support Friction,Yes,N/A
gaurav chaurasia,1,2026-07-22 21:36:41,"Worst service. The address I filled in is not showing, and I am also unable to connect with customer support.",Refund / Support Friction,Yes,N/A
sathish kumar,2,2026-07-22 21:36:40,worst service never expected,Other / Generic,Unclear,N/A
Arjun Rathod,3,2026-07-22 21:35:58,Nice,Other / Generic,Unclear,N/A
Anitha Wellness coach,1,2026-07-22 21:33:09,worst experience auto cancelling my order,Other / Generic,Unclear,N/A
Tejas Bhat,1,2026-07-22 21:23:58,"Terrible customer support. My order arrived incomplete. I raised a concern with clear image proof and just asked for a refund or a coupon for the missing item. Instead of actually helping, support just spammed me with automated, boilerplate rejections over and over. They refuse to take accountability for their mistakes. Don't expect any real help from them if your order gets messed up!",Order Accuracy,Yes,Coupon Given
Ananya Srivastava,1,2026-07-22 21:17:11,customer support is not helpful at all,Refund / Support Friction,Yes,N/A
Sunny Manni,3,2026-07-22 21:10:56,good of come to same product,Other / Generic,Unclear,N/A
Arjun Rawat,1,2026-07-22 21:01:06,delivery time too late and delivery man annoyingly cancel the order,Delivery Speed,Unclear,N/A
Suvarna Govind,1,2026-07-22 20:57:48,"Misleading delivery time. This has happened to me many times. Before placing the order, the app shows around 30 minutes delivery. After payment, it suddenly changes to 76 minutes or more. When I try to cancel because of the delay, they charge 100% cancellation fee. I have lost money because of this more than once. This feels very unfair and misleading. Please don't trust the delivery time shown in this app.",Refund / Support Friction,Unclear,N/A
VAKAPALLI DEVI POSI MALLESWARA RAO,3,2026-07-22 20:52:57,not easy to use,Other / Generic,Unclear,N/A
